GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookShopOnline Maven Webapp,laptop.database,ContrassegnoDao,113,6,4,0,36,2,5,1,3,1
BookShopOnline Maven Webapp,laptop.database,RivistaDao,748,20,12,0,157,6,18,1,12,1
BookShopOnline Maven Webapp,laptop.database,PagamentoDao,182,3,6,0,51,1,7,1,4,1
BookShopOnline Maven Webapp,laptop.database,NegozioDao,199,0,10,0,59,0,11,0,6,0
BookShopOnline Maven Webapp,laptop.database,GiornaleDao,717,20,12,0,152,6,18,1,12,1
BookShopOnline Maven Webapp,laptop.database,UsersDao,723,0,20,0,198,0,24,0,14,0
BookShopOnline Maven Webapp,laptop.database,GenerateDaoReportClass,729,50,63,3,191,12,54,3,14,1
BookShopOnline Maven Webapp,laptop.database,LibroDao,855,20,14,0,177,6,19,1,12,1
BookShopOnline Maven Webapp,laptop.database,CartaCreditoDao,201,3,6,0,55,1,6,1,3,1
BookShopOnline Maven Webapp,laptop.model,CartaDiCredito,140,0,0,0,49,0,23,0,23,0
BookShopOnline Maven Webapp,laptop.model,Fattura,42,38,0,0,12,17,4,11,4,11
BookShopOnline Maven Webapp,laptop.model,Negozio,58,0,0,0,21,0,11,0,11,0
BookShopOnline Maven Webapp,laptop.model,User.Ruoli,0,27,0,0,0,5,0,1,0,1
BookShopOnline Maven Webapp,laptop.model,User,42,59,3,3,10,23,10,13,7,12
BookShopOnline Maven Webapp,laptop.model,TempUser.RuoliT,27,0,0,0,5,0,1,0,1,0
BookShopOnline Maven Webapp,laptop.model,TempUser,101,0,6,0,33,0,23,0,19,0
BookShopOnline Maven Webapp,laptop.model,Pagamento,52,68,1,1,15,28,5,14,4,14
BookShopOnline Maven Webapp,laptop.database.csvUsers,CsvUtente,215,105,17,7,48,24,15,6,6,3
BookShopOnline Maven Webapp,laptop.database.csvPagamento,FatturaPagamentoCCredito,163,300,8,14,42,69,10,14,5,8
BookShopOnline Maven Webapp,laptop.model.raccolta,Factory,266,23,16,0,41,6,17,1,8,1
BookShopOnline Maven Webapp,laptop.model.raccolta,MatchParam,59,3,0,0,15,1,2,1,2,1
BookShopOnline Maven Webapp,laptop.model.raccolta,Giornale,77,187,1,3,21,54,7,21,6,20
BookShopOnline Maven Webapp,laptop.model.raccolta,CategorieRivista,0,87,0,0,0,5,0,1,0,1
BookShopOnline Maven Webapp,laptop.model.raccolta,Libro,536,230,54,6,116,72,67,27,13,26
BookShopOnline Maven Webapp,laptop.model.raccolta,CategorieLibro,0,177,0,0,0,10,0,1,0,1
BookShopOnline Maven Webapp,laptop.model.raccolta,Rivista,154,210,14,5,50,62,22,24,8,22
BookShopOnline Maven Webapp,laptop.database.csvOggetto,CsvOggettoDao,852,411,37,23,210,95,42,18,20,8
BookShopOnline Maven Webapp,web.bean,SystemBean,86,0,2,0,37,0,24,0,23,0
BookShopOnline Maven Webapp,web.bean,RivistaBean,190,0,17,0,61,0,42,0,27,0
BookShopOnline Maven Webapp,web.bean,UserBean,145,0,14,0,46,0,31,0,23,0
BookShopOnline Maven Webapp,web.bean,DownloadBean,17,0,0,0,7,0,5,0,5,0
BookShopOnline Maven Webapp,web.bean,LibroBean,280,0,32,0,111,0,63,0,33,0
BookShopOnline Maven Webapp,web.bean,AcquistaBean,24,0,0,0,10,0,7,0,7,0
BookShopOnline Maven Webapp,web.bean,UserBean.Ruoli,27,0,0,0,5,0,1,0,1,0
BookShopOnline Maven Webapp,web.bean,TextAreaBean,10,0,0,0,4,0,3,0,3,0
BookShopOnline Maven Webapp,web.bean,FatturaBean,51,0,6,0,19,0,12,0,9,0
BookShopOnline Maven Webapp,web.bean,GiornaleBean,91,0,2,0,37,0,24,0,23,0
BookShopOnline Maven Webapp,web.bean,NegozioBean,31,0,0,0,13,0,9,0,9,0
BookShopOnline Maven Webapp,web.bean,CartaCreditoBean,52,0,0,0,22,0,15,0,15,0
BookShopOnline Maven Webapp,web.bean,PagamentoBean,59,0,0,0,25,0,17,0,17,0
BookShopOnline Maven Webapp,web.bean,RicercaBean,38,0,0,0,16,0,11,0,11,0
BookShopOnline Maven Webapp,web.bean,ModificaOggettoBean,28,0,4,0,9,0,7,0,5,0
BookShopOnline Maven Webapp,laptop.exception,IdException,0,4,0,0,0,2,0,1,0,1
BookShopOnline Maven Webapp,laptop.exception,AcquistaException,4,0,0,0,2,0,1,0,1,0
BookShopOnline Maven Webapp,laptop.exception,LogoutException,4,0,0,0,2,0,1,0,1,0
BookShopOnline Maven Webapp,laptop.exception,PersistenzaException,4,0,0,0,2,0,1,0,1,0
BookShopOnline Maven Webapp,laptop.controller,ControllerGestionePage,234,0,26,0,56,0,21,0,4,0
BookShopOnline Maven Webapp,laptop.controller,ControllerRegistraUtente,191,0,26,0,38,0,20,0,7,0
BookShopOnline Maven Webapp,laptop.controller,ControllerAcquista,205,517,23,33,49,109,23,19,0,9
BookShopOnline Maven Webapp,laptop.controller,ControllerModifPage,251,0,6,0,49,0,10,0,7,0
BookShopOnline Maven Webapp,laptop.controller,ControllerDownload,111,112,21,3,22,25,14,4,2,2
BookShopOnline Maven Webapp,laptop.controller,ControllerPassword,153,0,14,0,28,0,10,0,3,0
BookShopOnline Maven Webapp,laptop.controller,ControllerAggiungiPage,182,0,14,0,38,0,12,0,5,0
BookShopOnline Maven Webapp,laptop.controller,ControllerReportPage,218,0,8,0,62,0,15,0,11,0
BookShopOnline Maven Webapp,laptop.controller,ControllerPagamentoCash,11,69,1,1,2,17,1,2,0,2
BookShopOnline Maven Webapp,laptop.controller,ControllerAggiungiUtente,45,0,0,0,13,0,2,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerRicercaPerTipo,24,0,6,0,4,0,5,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerScelta,17,24,2,2,5,7,2,2,0,2
BookShopOnline Maven Webapp,laptop.controller,ControllerVisualizzaProfilo,23,0,2,0,8,0,4,0,3,0
BookShopOnline Maven Webapp,laptop.controller,ControllerHomePageAfterLoginSE,56,0,2,0,16,0,3,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerReportRaccolta,9,0,0,0,3,0,3,0,3,0
BookShopOnline Maven Webapp,laptop.controller,ControllerScegliNegozio,26,0,0,0,9,0,4,0,4,0
BookShopOnline Maven Webapp,laptop.controller,ControllerLogin,30,71,5,3,9,14,4,4,0,4
BookShopOnline Maven Webapp,laptop.controller,ControllerBookData,87,0,0,0,17,0,2,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerRicercaPage,99,0,4,0,26,0,6,0,3,0
BookShopOnline Maven Webapp,laptop.controller,ControllerSystemState,31,58,0,2,13,25,9,16,9,15
BookShopOnline Maven Webapp,laptop.controller,ControllerHomePageAfterLogin,66,0,2,0,21,0,3,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerVisualizzaOrdine,12,0,0,0,4,0,2,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerVisualizza,163,0,6,0,29,0,9,0,6,0
BookShopOnline Maven Webapp,laptop.controller,ControllerModificaUtente,60,0,2,0,17,0,4,0,3,0
BookShopOnline Maven Webapp,laptop.controller,ControllerCheckPagamentoData,107,212,9,7,19,42,8,4,0,3
BookShopOnline Maven Webapp,laptop.controller,ControllerUserPage,10,0,0,0,5,0,2,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerCompravendita,342,0,36,0,68,0,27,0,6,0
BookShopOnline Maven Webapp,laptop.controller,ControllerCancellaUser,15,0,0,0,5,0,2,0,2,0
BookShopOnline Maven Webapp,laptop.controller,ControllerPagamentoCC,181,196,21,13,35,34,20,4,3,3
BookShopOnline Maven Webapp,laptop.utilities,ConnToDb,159,0,6,0,49,0,11,0,8,0
